U+1F600,900,1058,659
U+1F601,543,195,659,900,40,359,1058
U+1F602,72,797,702,846,659
U+1F923,1300,659,1075,846,1268
U+1F603,639,359,516,40,659
U+1F604,543,195,659,639,40,1053,359,516
U+1F605,659,639,1153,40,1053,359,516,764
U+1F606,543,846,352,659,639,784,40,1053,359,516
U+1F609,335,1103,659
U+1F60A,543,195,659,40,359,493
U+1F60B,388,659,1233,488,578,512,40
U+1F60E,195,116,936,659,682,40,713,359,420,64
U+1F60D,178,659,511,40,195,359
U+1F618,1126,396,659
U+1F617,906,396,659
U+1F619,543,195,659,396,40,906,359
U+1F61A,543,195,784,659,396,906
U+263A,40,359,1208,389,659
U+1F642,40,359,1158,659
U+1F917,544,680,659
U+1F914,1020,659
U+1F610,773,1215,659
U+1F611,177,659,634,1311
U+1F636,989,639,818,524,659
U+1F644,1300,543,659
U+1F60F,1323,597,659
U+1F623,46,659,399
U+1F625,548,1056,1279,659
U+1F62E,405,639,516,659
U+1F910,639,807,460,659
U+1F62F,445,1035,676,659
U+1F62A,12,1006,659
U+1F62B,659,91
U+1F634,659,12,1128,920
U+1F60C,548,659
U+1F61B,1156,1326,659
U+1F61C,195,815,659,335,1053,1156,1103,1326
U+1F61D,543,195,1247,659,784,785,1053,1156,1326
U+1F924,500,659
U+1F612,565,700,659
U+1F613,764,1153,659
U+1F614,734,1266,659
U+1F615,270,659
U+1F643,862,659
U+1F911,1003,639,1146,659
U+1F632,1220,974,615,659
U+2639,719,1040,659
U+1F641,719,1158,1040,659
U+1F616,198,659
U+1F61E,1056,659
U+1F61F,659,736
U+1F624,1124,744,87,659
U+1F622,72,733,593,1030,659
U+1F62D,1165,72,733,593,820,1030,659
U+1F626,719,639,516,1040,659
U+1F627,1117,659
U+1F628,895,687,1091,659
U+1F629,659,91,800
U+1F62C,469,457,659
U+1F630,109,1186,659,639,1153,1053,764,516
U+1F631,895,1091,961,659,687,63,669
U+1F633,1302,252,659
U+1F635,923,659
U+1F621,1227,199,659,313,723,456
U+1F620,199,313,659
U+1F637,932,1240,1316,659,1219,453,764
U+1F912,816,620,1219,659
U+1F915,210,221,631,1050,659
U+1F922,394,196,659
U+1F927,1228,1189,1304,659
U+1F607,585,659,334,510,875,40,416,359,401
U+1F920,677,659,1033,1148
U+1F921,1069,659
U+1F925,957,695,670,659
U+1F913,324,1259,659
U+1F608,659,334,510,358,40,359,416
U+1F47F,856,374,199,918,659,334,510,358,416
U+1F479,749,659,334,510,461,416,301
U+1F47A,461,659,334,510,416,559,301
U+1F480,1016,461,1226,659,334,416
U+2620,659,1016,461,1226,625
U+1F47B,1307,461,659,334,510,416,301
U+1F47D,334,461,510,117,659,8,123,416,301
U+1F47E,334,461,510,117,659,8,123,416,301
U+1F916,461,331,659
U+1F4A9,1289,461,466,659,842,1028,515
U+1F63A,246
U+1F648,478
U+1F476,228,32
U+1F466,153,32,988
U+1F467,1170,436,1238,32,988
U+1F9D1,667,226
U+1F468,322,988
U+1F469,48,988
U+1F474,1086,322,988
U+1F475,48,1086,988
U+1F468 U+200D U+2695 U+FE0F,932,879,683,451,338,128,322,988
U+1F469 U+200D U+2695 U+FE0F,48,932,879,683,451,338,128,988
U+1F468 U+200D U+1F393,1274,968,322,988
U+1F469 U+200D U+1F393,48,968,1274,988
U+1F468 U+200D U+1F3EB,656,887,150,322,988
U+1F469 U+200D U+1F3EB,656,887,48,150,988
U+1F468 U+200D U+2696 U+FE0F,1052,696,181,322,988
U+1F469 U+200D U+2696 U+FE0F,1052,48,181,988
U+1F468 U+200D U+1F33E,868,378,82,322,988
U+1F469 U+200D U+1F33E,868,48,82,378,988
U+1F468 U+200D U+1F373,60,97,322,988
U+1F469 U+200D U+1F373,60,97,48,988
U+1F468 U+200D U+1F527,403,832,1210,251,322,988
U+1F469 U+200D U+1F527,403,48,832,1210,251,988
U+1F468 U+200D U+1F3ED,1127,499,879,447,322,988
U+1F469 U+200D U+1F3ED,499,1127,48,879,447,988
U+1F468 U+200D U+1F4BC,349,1129,1130,879,10,577,322,988
U+1F469 U+200D U+1F4BC,48,349,1129,1130,879,10,577,988
U+1F468 U+200D U+1F52C,406,799,356,1010,322,1285,519,988
U+1F469 U+200D U+1F52C,48,406,799,356,1010,1285,519,988
U+1F468 U+200D U+1F4BB,1264,851,562,322,1161,361,988
U+1F469 U+200D U+1F4BB,1264,48,562,361,851,1161,988
U+1F468 U+200D U+1F3A4,651,1291,1273,414,253,322,988
U+1F469 U+200D U+1F3A4,651,48,1291,1273,414,253,988
U+1F468 U+200D U+1F3A8,768,731,322,988
U+1F469 U+200D U+1F3A8,768,48,731,988
U+1F468 U+200D U+2708 U+FE0F,890,312,322,988
U+1F469 U+200D U+2708 U+FE0F,48,312,890,988
U+1F468 U+200D U+1F680,1278,1000,322,988
U+1F469 U+200D U+1F680,48,1278,1000,988
U+1F468 U+200D U+1F692,1296,1190,322,988
U+1F469 U+200D U+1F692,1296,48,1190,988
U+1F46E,810,363,819
U+1F46E U+200D U+2642 U+FE0F,810,363,819,322,988
U+1F46E U+200D U+2640 U+FE0F,810,48,363,819,988
U+1F575,671,1275,261
U+1F575 U+FE0F U+200D U+2642 U+FE0F,671,1275,261,322,988
U+1F575 U+FE0F U+200D U+2640 U+FE0F,671,1275,48,261,988
U+1F482,1171
U+1F482 U+200D U+2642 U+FE0F,1171,322,988
U+1F482 U+200D U+2640 U+FE0F,1171,48,988
U+1F477,1033,1216,879
U+1F477 U+200D U+2642 U+FE0F,1216,879,322,988
U+1F477 U+200D U+2640 U+FE0F,1216,48,879,988
U+1F934,1013
U+1F478,334,510,416,476
U+1F472,67,158,243,870,1033,535,322,988
U+1F471,988,599,928
U+1F471 U+200D U+2642 U+FE0F,322,599,928,988
U+1F471 U+200D U+2640 U+FE0F,599,48,928,988
U+1F935,183,1315,322,988
U+1F470,574,1187,721,48,988
U+1F930,48,1066,988
U+1F47C,585,659,334,510,228,416
U+1F64B,1164,964,988,1222,344,1200
U+1F64B U+200D U+2642 U+FE0F,964,344,1222,322,988
U+1F64B U+200D U+2640 U+FE0F,48,344,1222,964,988
U+1F6B6,988,673,841,569
U+1F6B6 U+200D U+2642 U+FE0F,569,673,841,322,988
U+1F6B6 U+200D U+2640 U+FE0F,569,673,48,841,988
U+1F3C3,988,965,602
U+1F3C3 U+200D U+2642 U+FE0F,965,130,602,322,988
U+1F3C3 U+200D U+2640 U+FE0F,965,48,130,602,988
U+1F483,48,610,988
U+1F57A,4,610,322,988
U+1F46F,1176,1089,844,1221,949,745
U+1F46F U+200D U+2642 U+FE0F,1176,140,844,1221,949,745
U+1F46F U+200D U+2640 U+FE0F,1176,234,844,1221,949,745
U+1F9D8 U+1F3FC U+200D U+2642 U+FE0F,1267,34,575,14,991,17,1265,322,988
U+1F9D8 U+1F3FD U+200D U+2642 U+FE0F,1204,1267,34,14,991,17,1265,322,988
U+1F9D8 U+1F3FE U+200D U+2642 U+FE0F,1267,34,705,14,991,17,1265,322,988
U+1F9D8 U+1F3FF U+200D U+2642 U+FE0F,1267,34,1046,14,991,17,1265,322,988
U+1F6C0,988,909,907,1169
U+1F6CC,988,551,12,572
U+1F93A,988,43,295,1270
U+1F3C7,1005,522,1184,130
U+26F7,896,614,1036
U+1F3C2,187,896,1017,614
U+1F3CC,988,954,675,788
U+1F3CC U+FE0F U+200D U+2642 U+FE0F,788,675,322,988
U+1F3CC U+FE0F U+200D U+2640 U+FE0F,48,675,788,988
U+1F3C4 U+200D U+2642 U+FE0F,325,322,988
U+1F3C4 U+200D U+2640 U+FE0F,48,325,988
U+1F6A3,988,732,852,1183
U+1F6A3 U+200D U+2642 U+FE0F,1183,732,852,322,988
U+1F6A3 U+200D U+2640 U+FE0F,1183,732,48,852,988
U+1F3CA U+200D U+2642 U+FE0F,1037,342,322,988
U+1F3CA U+200D U+2640 U+FE0F,1037,48,342,988
U+26F9,988,954,549
U+26F9 U+FE0F U+200D U+2642 U+FE0F,549,954,322,988
U+26F9 U+FE0F U+200D U+2640 U+FE0F,549,48,954,988
U+1F3CB,988,434,1322,424,321
U+1F3CB U+FE0F U+200D U+2642 U+FE0F,434,1322,424,321,322,988
U+1F3CB U+FE0F U+200D U+2640 U+FE0F,434,48,1322,424,321,988
U+1F6B4,152,988,90,908
U+1F6B4 U+200D U+2642 U+FE0F,152,90,908,322,988
U+1F6B4 U+200D U+2640 U+FE0F,152,90,48,908,988
U+1F6B5,152,605,90,772,988,36,908
U+1F3CE,241,130
U+1F3CD,130,357
U+1F46B,48,1043,964,1280,397,230,322,988
U+1F46C,1043,140,201,964,941,125,1280,397,1238,230,322,988
U+1F46D,48,1043,201,964,1280,397,230,234,988
U+1F48F,1043,396
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,1043,48,396,322,988
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,1043,396,322,988
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,1043,48,396,988
U+1F491,1071,1043,178
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,1071,1043,48,178,322,988
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,1071,1043,178,322,988
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,1071,1043,48,178,988
U+1F46A,180
U+1F468 U+200D U+1F469 U+200D U+1F466,153,48,180,322,988
U+1F468 U+200D U+1F469 U+200D U+1F467,436,48,180,322,988
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,153,436,48,180,322,988
U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,153,48,180,322,988
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,436,48,180,322,988
U+1F468 U+200D U+1F468 U+200D U+1F466,153,180,322,988
U+1F468 U+200D U+1F468 U+200D U+1F467,436,180,322,988
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,153,436,180,322,988
U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,153,180,322,988
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,436,180,322,988
U+1F469 U+200D U+1F469 U+200D U+1F466,153,48,180,988
U+1F469 U+200D U+1F469 U+200D U+1F467,436,48,180,988
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,153,436,48,180,988
U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,153,48,180,988
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,436,48,180,988
U+1F468 U+200D U+1F466,153,180,322,988
U+1F468 U+200D U+1F466 U+200D U+1F466,153,180,322,988
U+1F468 U+200D U+1F467,436,180,322,988
U+1F468 U+200D U+1F467 U+200D U+1F466,153,436,180,322,988
U+1F468 U+200D U+1F467 U+200D U+1F467,436,180,322,988
U+1F469 U+200D U+1F466,153,48,180,988
U+1F469 U+200D U+1F466 U+200D U+1F466,153,48,180,988
U+1F469 U+200D U+1F467,436,48,180,988
U+1F469 U+200D U+1F467 U+200D U+1F466,153,436,48,180,988
U+1F469 U+200D U+1F467 U+200D U+1F467,436,48,180,988
U+1F453,195,997,279,936,420
U+1F576,1046,195,713,936,420
U+1F454,279,609
U+1F455,1213,1255,279,931
U+1F456,279,38,838,790
U+1F457,279,285
U+1F458,375,279
U+1F459,1037,901,279
U+1F45A,48,88,279,1019,988
U+1F45B,279,645,217
U+1F45C,642,737,217,279
U+1F45D,231,407,279,737
U+1F6CD,929,551,874,737
U+1F392,737,392,369,76
U+1F45E,811,279,685,322,988
U+1F45F,1002,965,279,685,1084
U+1F460,48,279,685,1081,1082,988
U+1F461,48,803,279,685,1019,988
U+1F462,279,48,1272,685,1019,988
U+1F451,279,678,1093,563,988
U+1F452,279,48,1033,1019,988
U+1F3A9,279,529,1033,580
U+1F393,1033,243,279,1150,151
U+26D1,306,49,1022,353,659,147,1033
U+1F4FF,339,26,727,279,1257
U+1F484,793,443,1029
U+1F48D,439,215
U+1F48E,1145,215,1248,726
U+1F435,478,659,386,85
U+1F412,478,386,85
U+1F98D,1319,386,85
U+1F436,1111,658,659,386,85
U+1F415,1111,658,386,85
U+1F429,1299,658,386,85
U+1F43A,1152,659,386,85
U+1F98A,1114,659,386,85
U+1F431,1111,659,246,386,85
U+1F408,1111,246,386,85
U+1F981,756,1116,1238,659,386,85
U+1F42F,881,659,386,85
U+1F405,881,386,85
U+1F406,464,386,85
U+1F434,522,659,386,85
U+1F40E,522,1005,130,629,386,85
U+1F984,659,969,386,85
U+1F98C,1250,386,85
U+1F42E,813,659,386,85
U+1F402,1238,885,1024,1154,386,85
U+1F403,142,1324,386,85
U+1F404,813,386,85
U+1F437,659,1253,386,85
U+1F416,1174,1253,386,85
U+1F417,848,1253,386,85
U+1F43D,659,1124,1253,386,85
U+1F40F,520,1238,589,255,189,386,85
U+1F411,520,423,937,386,85
U+1F410,50,1238,300,386,85
U+1F42A,1224,29,1001,386,85
U+1F42B,537,514,29,1001,386,85
U+1F418,296,386,85
U+1F98F,292,386,85
U+1F42D,926,659,386,85
U+1F401,926,386,85
U+1F400,595,386,85
U+1F439,1111,168,659,386,85
U+1F430,1111,949,227,659,386,85
U+1F407,1111,949,227,386,85
U+1F43F,588,386,85
U+1F987,284,119,386,85
U+1F43B,717,659,386,85
U+1F428,607,717,386,85
U+1F43C,106,659,386,85
U+1F43E,509,55,176,330,386
U+1F983,853,131,386
U+1F414,486,131,386
U+1F413,131,24,386
U+1F423,228,1077,131,58,386
U+1F424,228,1077,131,386
U+1F425,228,1077,105,131,386
U+1F426,131,386
U+1F427,131,1223,386
U+1F54A,235,1271,319,131,386
U+1F985,458,131,386
U+1F986,131,1092,386
U+1F989,1163,1225,131,386
U+1F438,202,659,386
U+1F40A,9,386
U+1F422,421,157,185,386
U+1F98E,739,41,386
U+1F40D,1238,999,395,265,326,386
U+1F432,334,416,659,333,386
