U+1F469 U+200D U+2695 U+FE0F,woman,doctor,worker,therapist,health,healthcare,nurse,person,,,,
U+1F468 U+200D U+1F393,graduate,student,man,person,,,,,,,,
U+1F469 U+200D U+1F393,woman,student,graduate,person,,,,,,,,
U+1F468 U+200D U+1F3EB,professor,instructor,teacher,man,person,,,,,,,
U+1F469 U+200D U+1F3EB,professor,instructor,woman,teacher,person,,,,,,,
U+1F468 U+200D U+2696 U+FE0F,judge,justice,scales,man,person,,,,,,,
U+1F469 U+200D U+2696 U+FE0F,judge,woman,scales,person,,,,,,,,
U+1F468 U+200D U+1F33E,rancher,farmer,gardener,man,person,,,,,,,
U+1F469 U+200D U+1F33E,rancher,woman,gardener,farmer,person,,,,,,,
U+1F468 U+200D U+1F373,cook,chef,man,person,,,,,,,,
U+1F469 U+200D U+1F373,cook,chef,woman,person,,,,,,,,
U+1F468 U+200D U+1F527,plumber,electrician,tradesperson,mechanic,man,person,,,,,,
U+1F469 U+200D U+1F527,plumber,woman,electrician,tradesperson,mechanic,person,,,,,,
U+1F468 U+200D U+1F3ED,assembly,industrial,worker,factory,man,person,,,,,,
U+1F469 U+200D U+1F3ED,industrial,assembly,woman,worker,factory,person,,,,,,
U+1F468 U+200D U+1F4BC,office,business,white-collar,worker,manager,architect,man,person,,,,
U+1F469 U+200D U+1F4BC,woman,office,business,white-collar,worker,manager,architect,person,,,,
U+1F468 U+200D U+1F52C,mathematician,physicist,scientist,biologist,man,chemist,engineer,person,,,,
U+1F469 U+200D U+1F52C,woman,mathematician,physicist,scientist,biologist,chemist,engineer,person,,,,
U+1F468 U+200D U+1F4BB,coder,technologist,inventor,man,software,developer,person,,,,,
U+1F469 U+200D U+1F4BB,coder,woman,inventor,developer,technologist,software,person,,,,,
U+1F468 U+200D U+1F3A4,singer,star,actor,rock,entertainer,man,person,,,,,
U+1F469 U+200D U+1F3A4,singer,woman,star,actor,rock,entertainer,person,,,,,
U+1F468 U+200D U+1F3A8,palette,artist,man,person,,,,,,,,
U+1F469 U+200D U+1F3A8,palette,woman,artist,person,,,,,,,,
U+1F468 U+200D U+2708 U+FE0F,pilot,plane,man,person,,,,,,,,
U+1F469 U+200D U+2708 U+FE0F,woman,plane,pilot,person,,,,,,,,
U+1F468 U+200D U+1F680,astronaut,rocket,man,person,,,,,,,,
U+1F469 U+200D U+1F680,woman,astronaut,rocket,person,,,,,,,,
U+1F468 U+200D U+1F692,firetruck,firefighter,man,person,,,,,,,,
U+1F469 U+200D U+1F692,firetruck,woman,firefighter,person,,,,,,,,
U+1F46E,cop,police,officer,,,,,,,,,
U+1F46E U+200D U+2642 U+FE0F,cop,police,officer,man,person,,,,,,,
U+1F46E U+200D U+2640 U+FE0F,cop,woman,police,officer,person,,,,,,,
U+1F575,detective,sleuth,spy,,,,,,,,,
U+1F575 U+FE0F U+200D U+2642 U+FE0F,detective,sleuth,spy,man,person,,,,,,,
U+1F575 U+FE0F U+200D U+2640 U+FE0F,detective,sleuth,woman,spy,person,,,,,,,
U+1F482,guard,,,,,,,,,,,
U+1F482 U+200D U+2642 U+FE0F,guard,man,person,,,,,,,,,
U+1F482 U+200D U+2640 U+FE0F,guard,woman,person,,,,,,,,,
U+1F477,hat,construction,worker,,,,,,,,,
U+1F477 U+200D U+2642 U+FE0F,construction,worker,man,person,,,,,,,,
U+1F477 U+200D U+2640 U+FE0F,construction,woman,worker,person,,,,,,,,
U+1F934,prince,,,,,,,,,,,
U+1F478,tale,fantasy,fairy,princess,,,,,,,,
U+1F472,gua,Chinese,cap,pi,hat,mao,man,person,,,,
U+1F471,person,blond,blond-haired,,,,,,,,,
U+1F471 U+200D U+2642 U+FE0F,man,blond,blond-haired,person,,,,,,,,
U+1F471 U+200D U+2640 U+FE0F,blond,woman,blond-haired,person,,,,,,,,
U+1F935,tuxedo,groom,man,person,,,,,,,,
U+1F470,bride,veil,wedding,woman,person,,,,,,,
U+1F930,woman,pregnant,person,,,,,,,,,
U+1F47C,angel,face,tale,fantasy,baby,fairy,,,,,,
U+1F64B,raised,hand,person,raising,gesture,happy,,,,,,
U+1F64B U+200D U+2642 U+FE0F,hand,gesture,raising,man,person,,,,,,,
U+1F64B U+200D U+2640 U+FE0F,woman,gesture,raising,hand,person,,,,,,,
U+1F6B6,person,walking,walk,hike,,,,,,,,
U+1F6B6 U+200D U+2642 U+FE0F,hike,walking,walk,man,person,,,,,,,
U+1F6B6 U+200D U+2640 U+FE0F,hike,walking,woman,walk,person,,,,,,,
U+1F3C3,person,running,marathon,,,,,,,,,
U+1F3C3 U+200D U+2642 U+FE0F,running,racing,marathon,man,person,,,,,,,
U+1F3C3 U+200D U+2640 U+FE0F,running,woman,racing,marathon,person,,,,,,,
U+1F483,woman,dancing,person,,,,,,,,,
U+1F57A,dance,dancing,man,person,,,,,,,,
U+1F46F,partying,people,dancer,ear,bunny,ears,,,,,,
U+1F46F U+200D U+2642 U+FE0F,partying,men,dancer,ear,bunny,ears,,,,,,
