1,U+1F600,grinning,face,face,grin
2,U+1F602,face,tears,joy,face,joy,laugh,tear
3,U+1F923,rolling,floor,laughing,face,floor,laugh,rolling
4,U+1F603,smiling,face,open,mouth,face,mouth,open,smile
5,U+1F604,smiling,face,open,mouth,&,smiling,eyes,eye,face,mouth,open,smile
6,U+1F605,smiling,face,open,mouth,&,cold,sweat,cold,face,open,smile,sweat
7,U+1F606,smiling,face,open,mouth,&,closed,eyes,face,laugh,mouth,open,satisfied,smile
8,U+1F609,winking,face,face,wink
9,U+1F60A,smiling,face,smiling,eyes,blush,eye,face,smile
10,U+1F60B,face,savouring,delicious,food,delicious,face,savouring,smile,um,yum
11,U+1F60E,smiling,face,sunglasses,bright,cool,eye,eyewear,face,glasses,smile,sun,sunglasses
12,U+1F60D,smiling,face,heart-eyes,eye,face,love,smile
13,U+1F618,face,blowing,kiss,face,kiss
14,U+1F617,kissing,face,face,kiss
15,U+1F619,kissing,face,smiling,eyes,eye,face,kiss,smile
16,U+1F61A,kissing,face,closed,eyes,closed,eye,face,kiss
17,U+263A,smiling,face,face,outlined,relaxed,smile
18,U+1F642,slightly,smiling,face,face,smile
19,U+1F917,hugging,face,face,hug,hugging
20,U+1F929,star-struck,eyes,face,grinning,star,starry-eyed
21,U+1F914,thinking,face,face,thinking
22,U+1F928,face,raised,eyebrow,distrust,skeptic,disapproval,disbelief,mild,surprise,scepticism
23,U+1F611,expressionless,face,expressionless,face,inexpressive,unexpressive
24,U+1F636,face,without,mouth,face,mouth,quiet,silent
25,U+1F60F,smirking,face,face,smirk
26,U+1F623,persevering,face,face,persevere
27,U+1F625,disappointed,relieved,face,disappointed,face,relieved,whew
28,U+1F62E,face,open,mouth,face,mouth,open,sympathy
29,U+1F910,zipper-mouth,face,face,mouth,zipper
30,U+1F62F,hushed,face,face,hushed,stunned,surprised
31,U+1F62A,sleepy,face,face,sleep
32,U+1F62B,tired,face,face,tired
33,U+1F634,sleeping,face,face,sleep,zzz
34,U+1F60C,relieved,face,face,relieved
35,U+1F61B,face,stuck-out,tongue,face,tongue
36,U+1F61C,face,stuck-out,tongue,&,winking,eye,eye,face,joke,tongue,wink
37,U+1F61D,face,stuck-out,tongue,&,closed,eyes,eye,face,horrible,taste,tongue
